trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,4,-50.8474402559347,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,6,-10.243576421860292,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,0,3.8945749122709667,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,8,10.044669460365537,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.418951549247639}",20,13,6.30426305967427,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",30,3,-67.10556279570422,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,3,-57.38316912998676,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,0,-45.913574074023124,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,0,6.55571916470649,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,0,-127.44574283098274,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,2,-61.996810697314636,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",25,0,-38.39574781697178,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,0,-56.35551610460094,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,3,-16.51389189839798,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",30,2,-69.88601218636313,"{0: 22, 1: 2, 2: 1, 3: 2, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",30,13,7.754969883958333,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
